,sector,ticker,name
0,Basic Materials,LTHM,LIVENT   CORP
1,Technology,UBER,UBER TECHNOLOGIES INC
2,Consumer Defensive,BYND,BEYOND MEAT INC
3,Communication Services,SCPL,SCIPLAY CORP
4,Industrials,CTRM,CASTOR MARITIME INC
5,Healthcare,EPZM,EPIZYME     INC
6,Healthcare,HQY,HEALTHEQUITY    INC
7,Financial Services,ICBK,COUNTY BANCORP INC
8,Healthcare,SIEN,SIENTRA  INC
9,Financial Services,TBK,TRIUMPH BANCORP INC
10,Healthcare,IRTC,IRHYTHM        TECHNOLOGIES   INC
11,Healthcare,ORGO,ORGANOGENESIS HLDGS INC
12,Financial Services,HLNE,HAMILTON LANE INC
13,Financial Services,PCSB,PCSB FINL CORP
14,Basic Materials,ZKIN,ZK INTL GROUP CO LTD
15,Healthcare,ZYME,ZYMEWORKS INC
16,Technology,SWCH,SWITCH INC
17,Energy,FTI,TECHNIPFMC PLC
18,Financial Services,BWB,BRIDGEWATER BANCSHARES INC
19,Healthcare,AXNX,AXONICS           MODULATION      TECHNOLOG
20,Healthcare,GH,GUARDANT HEALTH INC
21,Communication Services,EVER,EVERQUOTE INC
22,Healthcare,TBIO,TRANSLATE   BIO    INC
23,Healthcare,EQ,EQUILLIUM INC
24,Consumer Cyclical,GIII,G III APPAREL GROUP LTD
25,Technology,PTC,PTC INC
26,Financial Services,BNS,BANK NOVA SCOTIA B C
27,Technology,SCSC,SCANSOURCE INC
28,Consumer Cyclical,UFPT,UFP TECHNOLOGIES INC
29,Healthcare,SGMO,SANGAMO THERAPEUTICS INC
30,Financial Services,MCBC,MACATAWA BK CORP
31,Industrials,AIRT,AIR T INC
32,Technology,ITI,ITERIS INC NEW
33,Healthcare,STOK,STOKE THERAPEUTICS INC
34,Consumer Defensive,GPX,GP STRATEGIES CORP
35,Communication Services,PERI,PERION NETWORK LTD
36,Consumer Defensive,BRID,BRIDGFORD FOODS CORP
37,Financial Services,CINF,CINCINNATI     FINL    CORP
38,Consumer Defensive,CENT,CENTRAL GARDEN & PET CO
39,Consumer Cyclical,ABG,ASBURY   AUTOMOTIVE     GROUP     INC
40,Financial Services,FMBH,FIRST MID BANCSHARES INC
41,Technology,VECO,VEECO INSTRS INC DEL
42,Consumer Cyclical,BKNG,BOOKING  HOLDINGS        INC
43,Basic Materials,AUMN,GOLDEN MINERALS CO
44,Consumer Cyclical,GEF,GREIF INC
45,Industrials,HSC,HARSCO   CORP
46,Consumer Defensive,SENEB,SENECA FOODS CORP NEW
47,Technology,CYBE,CYBEROPTICS CORP
48,Healthcare,CDXC,CHROMADEX CORP
49,Financial Services,FULT,FULTON    FINL    CORP  PA
50,Financial Services,FBMS,FIRST BANCSHARES INC MS
51,Technology,CAMP,CALAMP CORP
52,Basic Materials,CBT,CABOT CORP
53,Financial Services,COWN,COWEN INC
54,Financial Services,OCSL,OAKTREE   SPECIALTY       LENDING    CO
55,Technology,CEVA,CEVA INC
56,Consumer Cyclical,KBAL,KIMBALL INTL INC
57,Basic Materials,ASM,AVINO SILVER & GOLD MINES LT
58,Technology,LPTH,LIGHTPATH TECHNOLOGIES INC
59,Financial Services,CZWI,CITIZENS CMNTY BANCORP INC M
60,Communication Services,GLUU,GLU MOBILE INC
61,Industrials,CNI,CANADIAN NATL RY CO
62,Technology,POWI,POWER INTEGRATIONS INC
63,Consumer Cyclical,THO,THOR INDS INC
64,Technology,WEX,WEX  INC
65,Financial Services,L,LOEWS   CORP
66,Energy,EPM,EVOLUTION PETE CORP
67,Technology,VOXX,VOXX INTL CORP
68,Technology,VRTU,VIRTUSA CORP
69,Consumer Defensive,HLF,HERBALIFE NUTRITION LTD
70,Financial Services,WD,WALKER & DUNLOP INC
71,Consumer Cyclical,LEA,LEAR CORP
72,Consumer Cyclical,TPX,TEMPUR SEALY INTL INC
73,Consumer Cyclical,ZUMZ,ZUMIEZ INC
74,Healthcare,MNKD,MANNKIND CORP
75,Industrials,GNRC,GENERAC HLDGS INC
76,Industrials,DHX,DHI GROUP INC
77,Technology,ADSK,AUTODESK INC
78,Consumer Cyclical,HAS,HASBRO   INC
79,Industrials,AJRD,AEROJET ROCKETDYNE HLDGS INC
80,Industrials,ITW,ILLINOIS TOOL WKS INC
81,Utilities,RGCO,RGC RES INC
82,Healthcare,DXR,DAXOR CORP
83,Basic Materials,EMX,EMX RTY CORP
84,Utilities,DTE,DTE ENERGY CO
85,Basic Materials,NTIC,NORTHERN TECH INTL CORP
86,Consumer Cyclical,ORLY,OREILLY AUTOMOTIVE INC
87,Technology,BLKB,BLACKBAUD INC
88,Industrials,HWCC,HOUSTON WIRE & CABLE CO
89,Financial Services,CNO,CNO  FINL  GROUP  INC
90,Communication Services,GOOGL,ALPHABET INC
91,Consumer Cyclical,DLTH,DULUTH   HLDGS      INC
92,Financial Services,EQBK,EQUITY BANCSHARES INC
93,Technology,NTNX,NUTANIX     INC
94,Energy,DK,DELEK   US   HLDGS     INC   NEW
95,Technology,SYKE,SYKES ENTERPRISES INC
