,ticker,name
1,BF/B,BROWN FORMAN CORP
2,IAU,ISHARES GOLD TRUST
3,IEMG,ISHARES INC
4,EWZ,ISHARES INC
5,EWY,ISHARES INC
6,EWT,ISHARES INC
7,EWW,ISHARES INC
8,IEFA,ISHARES TR
9,IVV,ISHARES TR
10,LQD,ISHARES TR
11,EFA,ISHARES TR
12,EEM,ISHARES TR
13,FXI,ISHARES TR
14,MCHI,ISHARES TR
15,GLD,SPDR GOLD TR
16,SPY,SPDR S&P 500 ETF TR
17,VWO,VANGUARD INTL EQUITY INDEX F
18,VEA,VANGUARD TAX-MANAGED INTL FD
21,SGOL,ABERDEEN STD GOLD ETF TR
22,SIVR,ABERDEEN STD SILVER ETF TR
29,IBUY,AMPLIFY ETF TR
31,ARKW,ARK ETF TR
37,BRK/A,BERKSHIRE HATHAWAY INC DEL
39,BIO/B,BIO RAD LABS INC
41,BF/A,BROWN FORMAN CORP
46,EBR/B,CENTRAIS ELETRICAS BRASILEIR
50,CHA,CHINA TELECOM CORP LTD
53,CWEN/A,CLEARWAY ENERGY INC
58,STZ/B,CONSTELLATION BRANDS INC
60,KOR,CORVUS GOLD INC
61,CRD/A,CRAWFORD & CO
62,CRD/B,CRAWFORD & CO
64,ASHR,DBX ETF TR
65,HYLB,DBX ETF TR
66,ERY,DIREXION SHS ETF TR
67,YANG,DIREXION SHS ETF TR
68,EDZ,DIREXION SHS ETF TR
69,TZA,DIREXION SHS ETF TR
70,LABD,DIREXION SHS ETF TR
71,JDST,DIREXION SHS ETF TR
72,SOXS,DIREXION SHS ETF TR
73,SPDN,DIREXION SHS ETF TR
78,AKO/A,EMBOTELLADORA ANDINA S A
79,AKO/B,EMBOTELLADORA ANDINA S A
81,HACK,ETF MANAGERS TR
82,SILJ,ETF MANAGERS TR
84,EMQQ,EXCHANGE TRADED CONCEPTS TR
85,ROBO,EXCHANGE TRADED CONCEPTS TR
86,ONEQ,FIDELITY COMWLTH TR
87,FDIS,FIDELITY COVINGTON TRUST
88,FTEC,FIDELITY COVINGTON TRUST
89,FBND,FIDELITY MERRIMACK STR TR
90,FTSM,FIRST TR EXCHANGE-TRADED FD
91,HYLS,FIRST TR EXCHANGE-TRADED FD
92,LMBS,FIRST TR EXCHANGE-TRADED FD
93,CIBR,FIRST TR EXCHANGE TRADED FD
94,FTSL,FIRST TR EXCHANGE-TRADED FD
95,FXL,FIRST TR EXCHANGE TRADED FD
96,FIXD,FIRST TR EXCHNG TRADED FD VI
97,FPE,FIRST TR EXCH TRADED FD III
98,GUNR,FLEXSHARES TR
104,CLOU,GLOBAL X FDS
105,SIL,GLOBAL X FDS
106,LIT,GLOBAL X FDS
107,QYLD,GLOBAL X FDS
108,BOTZ,GLOBAL X FDS
109,GBIL,GOLDMAN SACHS ETF TR
110,GRP/U,GRANITE REAL ESTATE INVT TR
111,GTN/A,GRAY TELEVISION INC
114,GEF/B,GREIF INC
118,HEI/A,HEICO CORP NEW
124,III,INFORMATION SVCS GROUP INC
125,GSY,INVESCO ACTIVELY MANAGED ETF
126,FXE,INVESCO CURRENCYSHARES EURO
127,PGF,INVESCO EXCHANGE TRADED FD T
128,RSP,INVESCO EXCHANGE TRADED FD T
129,RPG,INVESCO EXCHANGE TRADED FD T
130,PBW,INVESCO EXCHANGE TRADED FD T
131,PCEF,INVESCO EXCH TRADED FD TR II
132,CQQQ,INVESCO EXCH TRADED FD TR II
133,PCY,INVESCO EXCH TRADED FD TR II
134,PHB,INVESCO EXCH TRADED FD TR II
135,PZA,INVESCO EXCH TRADED FD TR II
136,PGX,INVESCO EXCH TRADED FD TR II
137,TAN,INVESCO EXCH TRADED FD TR II
138,BKLN,INVESCO EXCH TRADED FD TR II
